AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Baroda BNP Paribas Asset Management India Private Limited,151755,Baroda BNP Paribas Value Fund,Open Ended,Equity Scheme - Value Fund,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,5000,17-May-2023,,INF251K01SD5
HDFC Asset Management Company Limited,151750,HDFC Defence Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Defence Fund - Growth Option - Direct Plan,100,19-May-2023,30-May-2023,INF179KC1GI5
Samco Asset Management Private Limited,151753,Samco Active Momentum Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Samco Active Momentum Fund - Direct Plan - Growth Option,Rs. 5000 and in multiples of Rs. 1/- thereafter,15-Jun-2023,29-Jun-2023,INF0K1H01081
quant Money Managers Limited,151757,quant Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Business Cycle Fund - Growth Option - Direct Plan,5000,12-May-2023,,INF966L01BR2
UTI Asset Mgmt. Co. Ltd.,151762,UTI Nifty50 Equal Weight Index Fund,Open Ended,Other Scheme - Index Funds,UTI Nifty50 Equal Weight Index Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1/- thereafter,22-May-2023,,INF789F1AYP5
UTI Asset Mgmt. Co. Ltd.,151764,UTI BSE Housing Index Fund,Open Ended,Other Scheme - Index Funds,UTI BSE Housing Index Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1/- thereafter,22-May-2023,,INF789F1AYR1
SBI Funds Management Limited,151769,SBI BSE Sensex Index Fund,Open Ended,Other Scheme - Index Funds,SBI BSE Sensex Index Fund - Direct Plan - Growth,Rs. 5000/- & in multiples of Re.1,18-May-2023,24-May-2023,INF200KA16Y4
Kotak Mahindra Asset Management Company Limited.,151771,Kotak FMP Series 312,Close Ended,Income,Kotak FMP Series 312 - Direct Plan - Growth,5000,22-May-2023,,INF174KA1NW9
ITI Asset Management Limited,151777,ITI Focused Fund,Open Ended,Equity Scheme - Focused Fund,ITI Focused Fund - Direct Plan - Growth,5000,29-May-2023,,INF00XX01CS8
Kotak Mahindra Asset Management Company Limited.,151781,Kotak Nifty 200 Momentum 30 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth Option,5000,25-May-2023,,INF174KA1OB1
Axis Asset Management Co. Ltd.,151785,Axis Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Axis Nifty IT Index Fund - Direct Plan - Growth,Rs. 5000/- and in multiple of Re. 1 thereafter,27-Jun-2023,11-Jul-2023,INF846K017R3
quant Money Managers Limited,151791,quant BFSI Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant BFSI Fund - Growth Option - Direct Plan,5000,01-Jun-2023,,INF966L01BX0
Edelweiss Asset Management Limited,151792,Edelweiss Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Edelweiss Multi Asset Allocation Fund - Direct Plan - Growth,Rs. 5000/- & multiples of Re. 1/- thereafter,05-Jun-2023,19-Jun-2023,INF754K01RS8
360 ONE Asset Management Limited,151796,360 ONE Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,1000,12-Jun-2023,,INF579M01AS1
HDFC Asset Management Company Limited,151804,HDFC Non-Cyclical Consumer Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Non-Cyclical Consumer Fund - Growth Option - Direct Plan,100,23-Jun-2023,07-Jul-2023,INF179KC1GO3
Mirae Asset Investment Managers (India) Pvt. Ltd,151810,Mirae Asset Multicap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Mirae Asset Multicap Fund - Direct Plan - Growth,Rs.5000/- and in multiples of Re. 1/- thereafter.,28-Jul-2023,,INF769K01KK8
Motilal Oswal Asset Management Company Limited,151814,Motilal Oswal Nifty Microcap 250 Index Fund,Open Ended,Other Scheme - Index Funds,Motilal Oswal Nifty Microcap 250 Index Fund- Direct- Growth Option,Rs. 500/- and in multiples of Re. 1/- thereafter.,15-Jun-2023,29-Jun-2023,INF247L01BQ9
Bandhan AMC Limited,151816,BANDHAN FINANCIAL SERVICES FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,Rs. 5000/- and any amount thereafter thereafter,10-Jul-2023,,INF194KB1GB2
Canara Robeco Asset Management Company Limited,151824,Canara Robeco Multi Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,Rs. 5000 and multiples of Re. 1 thereafter,07-Jul-2023,21-Jul-2023,INF760K01KO9
Kotak Mahindra Asset Management Company Limited.,151826,Kotak FMP Series 313,Close Ended,Income,Kotak FMP Series 313 - Direct Plan - Growth Option,5000,22-Jun-2023,,INF174KA1OG0
Bajaj Finserv Asset Management Limited,151833,Bajaj Finserv Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Bajaj Finserv Liquid Fund - Direct Plan - Growth,Rs. 1000/- and in multiples of Re. 1/- thereafter,29-Jun-2023,,INF0QA701011
Bajaj Finserv Asset Management Limited,151849,Bajaj Finserv Overnight Fund,Open Ended,Debt Scheme - Overnight Fund,Bajaj Finserv Overnight Fund - Direct Plan - Growth,Rs. 1000/- and in multiples of Re. 1/- thereafter,29-Jun-2023,,INF0QA701177
quant Money Managers Limited,151853,quant Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Healthcare Fund - Growth Option - Direct Plan,5000,27-Jun-2023,,INF966L01CD0
Kotak Mahindra Asset Management Company Limited.,151881,Kotak Quant Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Kotak Quant Fund - Direct Plan - Growth Option,5000,12-Jul-2023,,INF174KA1OL0
UTI Asset Mgmt. Co. Ltd.,151885,UTI Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,UTI Balanced Advantage Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1/- thereafter,21-Jul-2023,,INF789F1AYV3
Bajaj Finserv Asset Management Limited,151889,Bajaj Finserv Money Market Fund,Open Ended,Debt Scheme - Money Market Fund,Bajaj Finserv Money Market Fund-Direct Plan-Growth,Minimum application amount - Rs. 1000/- and in mu,17-Jul-2023,,INF0QA701334
Bajaj Finserv Asset Management Limited,151895,Bajaj Finserv Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,Minimum application amount (lumpsum) - Rs. 500 and,24-Jul-2023,,INF0QA701342
HDFC Asset Management Company Limited,151901,HDFC Transportation and Logistics Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Transportation and Logistics Fund - Growth Option - Direct Plan,100,28-Jul-2023,11-Aug-2023,INF179KC1GU0
Union Asset Management Company Private Limited,151905,Union Innovation & Opportunities Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Union Innovation & Opportunities Fund - Direct Plan - Growth Option,Rs 1000 and in multiples of Rs.1 thereafter,16-Aug-2023,,INF582M01JE6
Kotak Mahindra Asset Management Company Limited.,151911,Kotak Nifty Financial Services Ex-Bank Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth option,5000,24-Jul-2023,,INF174KA1OR7
quant Money Managers Limited,151916,quant Manufacturing Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Manufacturing Fund - Growth Option - Direct Plan,5000,26-Jul-2023,,INF966L01CJ7
NJ Asset Management Private Limited,151917,NJ Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,NJ Flexi Cap Fund - Direct Plan - Growth Option,500,15-Aug-2023,,INF0J8L01156
LIC Mutual Fund Asset Management Limited,151937,LIC MF Nifty Next 50 Index Fund,Open Ended,Other Scheme - Index Funds,LIC MF Nifty Next 50 Index Fund-Direct Plan-Growth,5000,02-Sep-2010,15-Sep-2010,INF397L01AW2
LIC Mutual Fund Asset Management Limited,151952,LIC MF Equity Savings Fund,Open Ended,Hybrid Scheme - Equity Savings,LIC MF Equity Savings Fund-Direct Plan-Growth,5000,14-Feb-2011,,INF397L01AZ5
LIC Mutual Fund Asset Management Limited,151974,LIC MF Gold ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,LIC MF Gold ETF Fund of Fund-Direct Plan-Growth,5000,25-Jul-2012,08-Aug-2012,INF397L01BU4
LIC Mutual Fund Asset Management Limited,152002,LIC MF Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,LIC MF Mid Cap Fund-Direct Plan-Growth,Minimum Rs.5000 & in multiples of Re.1 thereafter,05-Jan-2017,19-Jan-2017,INF397L01JK8
LIC Mutual Fund Asset Management Limited,152004,LIC MF Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,LIC MF Small Cap Fund-Direct Plan-Growth,5000,01-Jun-2017,15-Jun-2017,INF397L01JS1
LIC Mutual Fund Asset Management Limited,152010,LIC MF Focused Fund,Open Ended,Equity Scheme - Focused Fund,LIC MF Focused Fund-Direct Plan-Growth,Rs. 5000 and multiples of Rs. 1 thereafter,30-Oct-2017,,INF397L01KA7
LIC Mutual Fund Asset Management Limited,152018,LIC MF Value Fund,Open Ended,Equity Scheme - Value Fund,LIC MF Value Fund-Direct Plan-Growth,5000,30-Jul-2018,,INF397L01KU5
LIC Mutual Fund Asset Management Limited,152022,LIC MF Dividend Yield Fund,Open Ended,Equity Scheme - Dividend Yield Fund,LIC MF Dividend Yield Fund-Direct Plan-Growth,5000Rs. 5000/- and in multiples of Re. 1,03-Dec-2018,,INF397L01LC1
LIC Mutual Fund Asset Management Limited,152024,LIC MF Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,LIC MF Healthcare Fund-Direct Plan-Growth,5000,08-Feb-2019,,INF397L01LK4
HSBC Asset Management (India) Private Ltd.,152032,HSBC Consumption Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HSBC Consumption Fund - Direct Growth,5000,10-Aug-2023,24-Aug-2023,INF336L01QZ9
Nippon Life India Asset Management Limited,152033,Nippon India Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Nippon India Innovation Fund-Direct Plan-Growth Option,Rs. 500 and in multiples of Re. 1 thereafter,09-Aug-2023,,INF204KC1BO3
Kotak Mahindra Asset Management Company Limited.,152039,Kotak BSE Housing Index Fund,Open Ended,Other Scheme - Index Funds,Kotak BSE Housing Index Fund - Direct Plan - Growth Option,5000,07-Aug-2023,,INF174KA1OX5
Bandhan AMC Limited,152041,Bandhan Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Bandhan Nifty IT Index Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,18-Aug-2023,,INF194KB1GK3
Mahindra Manulife Investment Management Pvt Ltd,152045,Mahindra Manulife Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth,Rs 1000/- and in multiples of Re 1/- thereafter,21-Aug-2023,,INF174V01BQ4
Shriram Asset Management Co. Ltd.,152051,Shriram Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Shriram Multi Asset Allocation Fund - Direct Growth,Rs. 500/- and in multiples of Re. 1/- thereafter,18-Aug-2023,,INF680P01406
DSP Asset Managers Private Limited,152056,DSP Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,DSP Multi Asset Allocation Fund - Direct - Growth,Rs. 100/-and any amount thereafter,07-Sep-2023,21-Sep-2023,INF740KA1TE9
HDFC Asset Management Company Limited,152059,HDFC Technology Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Technology Fund - Growth Option - Direct Plan,100,25-Aug-2023,05-Sep-2023,INF179KC1HI3
Navi AMC Limited,152062,NAVI BSE SENSEX INDEX FUND,Open Ended,Other Scheme - Index Funds,NAVI BSE SENSEX INDEX FUND - DIRECT PLAN - GROWTH,Rs.100/,21-Aug-2023,,INF959L01HK9
Kotak Mahindra Asset Management Company Limited.,152064,Kotak Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Kotak Multi Asset Allocation Fund - Direct Plan - Growth Option,5000,31-Aug-2023,,INF174KA1PD4
quant Money Managers Limited,152067,quant Teck Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Teck Fund - Growth Option - Direct Plan,5000,22-Aug-2023,,INF966L01CT6
WhiteOak Capital Asset Management Limited,152071,WhiteOak Capital Multi Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,WhiteOak Capital Multi Cap Fund Direct Plan Growth,Minimum of Rs. 500/- and in multiples of Re. 1/-,31-Aug-2023,14-Sep-2023,INF03VN01803
360 ONE Asset Management Limited,152076,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,1000,04-Sep-2023,,INF579M01AY9
Bajaj Finserv Asset Management Limited,152077,Bajaj Finserv Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,Bajaj Finserv Arbitrage Fund-Direct Plan-Growth,Rs. 500 and in multiples of Re. 1. Systematic Inve,08-Sep-2023,,INF0QA701524
HDFC Asset Management Company Limited,152082,HDFC Pharma and Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Pharma and Healthcare Fund - Growth Option - Direct Plan,100,14-Sep-2023,28-Sep-2023,INF179KC1HO1
UTI Asset Mgmt. Co. Ltd.,152087,UTI Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,UTI Innovation Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1/- thereafter,25-Sep-2023,,INF789F1AZA4
Motilal Oswal Asset Management Company Limited,152090,Motilal Oswal Developed Market Ex US ETFs Fund of Funds,Open Ended,Other Scheme - FoF Overseas,Motilal Oswal Developed Market Ex US ETFs Fund of Funds Direct Plan Growth,Rs. 500 and in multiples of Re. 1 thereafter,18-Sep-2023,21-Sep-2023,INF247L01BT3
Groww Asset Management Limited,152092,Groww Nifty Total Market Index Fund,Open Ended,Other Scheme - Index Funds,Groww Nifty Total Market Index Fund - Direct Plan - Growth,Rs. 500 and in multiples of Re.1 thereafter,03-Oct-2023,,INF666M01HM4
Edelweiss Asset Management Limited,152094,Edelweiss Multi Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Edelweiss Multi Cap Fund - Direct Plan - Growth,Rs. 5000/- & multiples of Re. 1/- thereafter,04-Oct-2023,,INF754K01SD8
Kotak Mahindra Asset Management Company Limited.,152098,Kotak Nifty G-Sec July 2033 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty G-Sec July 2033 Index Fund - Direct Plan - Growth,100,25-Sep-2023,,INF174KA1PJ1
Bandhan AMC Limited,152102,BANDHAN RETIREMENT FUND,Open Ended,Solution Oriented Scheme - Retirement Fund,Bandhan Retirement Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter thereafter,28-Sep-2023,,INF194KB1GU2
Quantum Asset Management Company Private Limited,152107,QUANTUM SMALL CAP FUND,Open Ended,Equity Scheme - Small Cap Fund,QUANTUM SMALL CAP FUND - DIRECT PLAN GROWTH OPTION,500,16-Oct-2023,27-Oct-2023,INF082J01432
PPFAS Asset Management Pvt. Ltd.,152109,Parag Parikh Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,Parag Parikh Arbitrage Fund - Direct Plan Growth,1000,23-Oct-2023,,INF879O01225
Baroda BNP Paribas Asset Management India Private Limited,152128,Baroda BNP Paribas Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,5000,06-Oct-2023,,INF251K01SR5
WhiteOak Capital Asset Management Limited,152132,WhiteOak Capital Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,WhiteOak Capital Balanced Hybrid Fund Direct Plan Growth,Minimum of Rs. 500/- and in multiples of Re. 1/-,05-Oct-2023,19-Oct-2023,INF03VN01829
Helios Capital Asset Management (India) Pvt. Ltd.,152135,Helios Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Helios Flexi Cap Fund - Direct Plan - Growth Option,Rs. 5000 and in multiple of Re.1 thereafter,23-Oct-2023,,INF0R8701046
Aditya Birla Sun Life AMC Limited,152140,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds,Open Ended,Other Scheme - FoF Overseas,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct Growth,100,16-Oct-2023,,INF209KB16W7
Aditya Birla Sun Life AMC Limited,152150,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds,Open Ended,Other Scheme - FoF Overseas,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct Growth,100,16-Oct-2023,,INF209KB12X4
Helios Capital Asset Management (India) Pvt. Ltd.,152152,Helios Overnight Fund,Open Ended,Debt Scheme - Overnight Fund,Helios Overnight Fund - Direct Plan - Growth Option,Rs. 5000 for Growth Option & Rs. 25000 for IDCW,19-Oct-2023,,INF0R8701079
Zerodha Asset Management Private Limited,152156,Zerodha Nifty LargeMidcap 250 Index Fund,Open Ended,Other Scheme - Index Funds,Zerodha Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,100,20-Oct-2023,,INF0R8F01018
Zerodha Asset Management Private Limited,152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund,Open Ended,Other Scheme - Index Funds,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,500,20-Oct-2023,,INF0R8F01026
Aditya Birla Sun Life AMC Limited,152158,Aditya Birla Sun Life Transportation and Logistics Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,500,27-Oct-2023,,INF209KB15X7
Bajaj Finserv Asset Management Limited,152162,Bajaj Finserv Banking and PSU Fund,Open Ended,Debt Scheme - Banking and PSU Fund,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Rs. 1000/- and in multiples of Re. 1/- thereafter,25-Oct-2023,,INF0QA701607
Kotak Mahindra Asset Management Company Limited.,152169,Kotak Consumption Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Kotak Consumption Fund - Direct plan - Growth Option,5000,25-Oct-2023,,INF174KA1PP8
Kotak Mahindra Asset Management Company Limited.,152175,Kotak FMP Series 323,Close Ended,Income,Kotak FMP Series 323 - Direct Plan - Growth Option,5000,26-Oct-2023,,INF174KA1PU8
Bandhan AMC Limited,152177,Bandhan Nifty Alpha 50 Index Fund,Open Ended,Other Scheme - Index Funds,Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth,Rs. 1000/- and in multiples of Re. 1/- thereafter,25-Oct-2023,,INF194KB1HA2
DSP Asset Managers Private Limited,152183,DSP Gold ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,DSP Gold ETF Fund of Fund - Direct - Growth,Rs. 100/-and any amount thereafter,03-Nov-2023,10-Nov-2023,INF740KA1TK6
Samco Asset Management Private Limited,152188,Samco Dynamic Asset Allocation Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Samco Dynamic Asset Allocation Fund - Direct Plan - Growth Option,Rs. 5000 and in multiples of Rs. 1/- thereafter,07-Dec-2023,,INF0K1H01131
quant Money Managers Limited,152189,quant Momentum Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Momentum Fund - Growth Option - Direct Plan,5000,30-Oct-2023,13-Nov-2023,INF966L01CZ3
Bajaj Finserv Asset Management Limited,152194,Bajaj Finserv Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Bajaj Finserv Balanced Advantage Fund-Direct Plan-Growth,Rs. 500 and in multiples of Re. 1.,24-Nov-2023,,INF0QA701656
Axis Asset Management Co. Ltd.,152202,Axis India Manufacturing Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Axis India Manufacturing Fund - Direct Plan - Growth,Rs. 500 and in multiples of Re. 1/- thereafter,01-Dec-2023,15-Dec-2023,INF846K016S3
DSP Asset Managers Private Limited,152206,DSP Banking & Financial Services Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,DSP Banking & Financial Services Fund - Direct - Growth,Rs. 100/-and any amount thereafter,20-Nov-2023,04-Dec-2023,INF740KA1TQ3
Kotak Mahindra Asset Management Company Limited.,152214,Kotak Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Kotak Healthcare Fund - Direct Plan - Growth Option,5000,20-Nov-2023,,INF174KA1PZ7
Union Asset Management Company Private Limited,152219,Union Children's Fund,Open Ended,Solution Oriented Scheme - Children s Fund,Union Children's Fund - Direct Plan - Growth Option,Rs.1000 and Rs.1 thereafter,28-Nov-2023,,
Kotak Mahindra Asset Management Company Limited.,152224,Kotak FMP Series 324,Close Ended,Income,Kotak FMP Series 324 - Direct Plan - Growth Option,5000,20-Nov-2023,,INF174KA1QE0
WhiteOak Capital Asset Management Limited,152226,WhiteOak Capital Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Whiteoak Capital Large & Mid Cap Fund Direct Plan Growth,Minimum of Rs. 500/- and in multiples of Re. 1/-,01-Dec-2023,15-Dec-2023,INF03VN01845
Motilal Oswal Asset Management Company Limited,152237,Motilal Oswal Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,Motilal Oswal Small Cap Fund - Direct - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter.,05-Dec-2023,,INF247L01BY3
Axis Asset Management Co. Ltd.,152240,Axis US Specific Treasury Dynamic Debt Passive FOF,Open Ended,Other Scheme - FoF Overseas,Axis US Specific Treasury Dynamic Debt Passive FOF - Direct Plan - Growth Option,Rs. 500 and in multiples of Re. 1/- thereafter,12-Dec-2023,21-Dec-2023,INF846K017T9
DSP Asset Managers Private Limited,152243,DSP Nifty Smallcap250 Quality 50 Index Fund,Open Ended,Other Scheme - Index Funds,DSP Nifty Smallcap250 Quality 50 Index Fund - Direct - Growth,Rs. 100/-and any amount thereafter,05-Dec-2023,19-Dec-2023,INF740KA1TW1
Kotak Mahindra Asset Management Company Limited.,152249,Kotak FMP Series 325,Close Ended,Income,Kotak FMP Series 325 - Direct Plan - Growth Option,5000,08-Dec-2023,,INF174KA1QI1
Aditya Birla Sun Life AMC Limited,152250,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days),Close Ended,Income,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days) - Direct Plan - Growth Option,Minimum of Rs. 1000 and in multiples of Rs. 10,07-Dec-2023,,INF209KB11Y4
Groww Asset Management Limited,152254,Groww Banking & Financial Services Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Groww Banking & Financial Services Fund - Direct Plan - Growth,500,17-Jan-2024,,INF666M01HS1
quant Money Managers Limited,152255,quant Commodities Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Commodities Fund - Growth Option - Direct Plan,5000,08-Dec-2023,,INF966L01DF3
Aditya Birla Sun Life AMC Limited,152259,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days),Close Ended,Income,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days) - Direct Plan - Growth Option,Minimum of Rs. 1000 and in multiples of Rs. 10,15-Dec-2023,,INF209KB15Y5
Bandhan AMC Limited,152264,BANDHAN Nifty Smallcap 250 Index Fund,Open Ended,Other Scheme - Index Funds,BANDHAN Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,12-Dec-2023,,INF194KB1HG9
Aditya Birla Sun Life AMC Limited,152267,Aditya Birla Sun Life Crisil IBX Gilt April 2033 Index Fund,Open Ended,Other Scheme - Index Funds,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct Growth,1000,15-Dec-2023,,INF209KB19Y7
Kotak Mahindra Asset Management Company Limited.,152279,Kotak FMP Series 326,Close Ended,Income,Kotak FMP Series 326 - Direct Plan - Growth Option,5000,15-Dec-2023,,INF174KA1QM3
Nippon Life India Asset Management Limited,152283,Nippon India Fixed Maturity Plan XLVI Series 1,Close Ended,Income,Nippon India Fixed Maturity Plan XLVI Series 1 - Direct Plan - Growth,Rs 5000 and in multiples of Re. 1 thereafter,14-Dec-2023,,INF204KC1BT2
Tata Asset Management Limited,152287,Tata Gold ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,Tata Gold ETF Fund of Fund Direct Plan Growth Option,5000,02-Jan-2024,,INF277KA1869
Tata Asset Management Limited,152293,Tata Silver ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,Tata Silver ETF Fund of Fund Direct Plan Growth Option,5000,02-Jan-2024,,INF277KA1943
SBI Funds Management Limited,152303,SBI Fixed Maturity Plan (FMP)-Series 91 (90 Days),Close Ended,Income,SBI Fixed Maturity Plan-Series 91 (90 Days) - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,26-Dec-2023,,INF200KA16Z1
DSP Asset Managers Private Limited,152310,DSP Multicap Fund,Open Ended,Equity Scheme - Multi Cap Fund,DSP Multicap Fund - Direct - Growth,Rs. 100/- and any amount thereafter,08-Jan-2024,23-Jan-2024,INF740KA1UC1
Sundaram Asset Management Company Ltd,152314,Sundaram Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Sundaram Multi Asset Allocation Fund Direct Plan Growth,100,05-Jan-2024,,INF903JA1LK9
WhiteOak Capital Asset Management Limited,152321,WhiteOak Capital Banking & Financial Services Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,WhiteOak Capital Banking & Financial Services Fund - Direct Growth,Minimum of Rs. 100/- and in multiples of Re. 1/-,16-Jan-2024,30-Jan-2024,INF03VN01860
Bandhan AMC Limited,152324,BANDHAN MULTI ASSET ALLOCATION FUND,Open Ended,Hybrid Scheme - Multi Asset Allocation,Bandhan Multi Asset Allocation Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,10-Jan-2024,,INF194KB1HM7
Baroda BNP Paribas Asset Management India Private Limited,152329,Baroda BNP Paribas Nifty 50 Index Fund,Open Ended,Other Scheme - Index Funds,Baroda BNP Paribas Nifty 50 Index Fund - Direct Plan - Growth option,5000,08-Jan-2024,,INF251K01SY1
Aditya Birla Sun Life AMC Limited,152332,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days),Close Ended,Income,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days) - Direct Plan - Growth Option,Minimum of Rs. 1000 and in multiples of Rs. 10,04-Jan-2024,,INF209KB13Z7
quant Money Managers Limited,152336,quant Consumption Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Consumption Fund - Growth Option - Direct Plan,5000,05-Jan-2024,,INF966L01DN7
Kotak Mahindra Asset Management Company Limited.,152342,Kotak FMP Series 327,Close Ended,Income,Kotak FMP Series 327 - Direct Plan - Growth Option,5000,08-Jan-2024,,INF174KA1QQ4
Mirae Asset Investment Managers (India) Pvt. Ltd,152344,Mirae Asset Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Mirae Asset Multi Asset Allocation Fund - Direct Plan - Growth,Rs.5000 and in Rs.1 multiples thereafter,10-Jan-2024,,INF769K01KZ6
