AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Mirae Asset Investment Managers (India) Pvt. Ltd,143783,Mirae Asset Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Mirae Asset Healthcare Fund Direct Growth,5000,11-Jun-2018,25-Jun-2018,INF769K01ED6
Navi AMC Limited,143793,Navi Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Navi Flexi Cap Fund - Direct Plan - Growth,Rs. 100/-,18-Jun-2018,02-Jul-2018,INF959L01DT9
UTI Asset Mgmt. Co. Ltd.,143799,UTI - Fixed Term Income fund - Series XXIX - VIII (1127 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-VIII (1127 days) - Direct Plan - Growth Option,Rs 5000,13-Jun-2018,,INF789FC11X5
Kotak Mahindra Asset Management Company Limited.,143848,Kotak FMP Series 230,Close Ended,Income,Kotak FMP Series 230-Direct Plan-Growth Option,200000000,11-Jun-2018,,INF174K013Z7
UTI Asset Mgmt. Co. Ltd.,143870,UTI - Fixed Term Income fund - Series XXIX - IX (1109 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-IX (1109 days) - Direct Plan - Growth Option,Rs 5000,15-Jun-2018,,INF789FC11Y3
Nippon Life India Asset Management Limited,143901,Nippon India Fixed Horizon Fund XXXVIII- Series 1,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 1- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,21-Jun-2018,,INF204KB1A89
Nippon Life India Asset Management Limited,143946,Nippon India Fixed Horizon Fund XXXVIII- Series 2,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 2- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,26-Jun-2018,,INF204KB1B21
Nippon Life India Asset Management Limited,143949,Nippon India Fixed Horizon Fund XXXVIII- Series 3,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVIII- Series 3- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,26-Jun-2018,,INF204KB1B62
Kotak Mahindra Asset Management Company Limited.,143967,Kotak FMP Series 231,Close Ended,Income,Kotak FMP Series 231- Direct Plan- Growth Option,200000000,18-Jun-2018,,INF174K017Z8
Kotak Mahindra Asset Management Company Limited.,143994,Kotak FMP Series 232,Close Ended,Income,Kotak FMP Series 232-Direct Plan-Growth Option,200000000,19-Jun-2018,,INF174KA1020
